270A693F,76411ABE,43909F3E,A9D0613E,4F0098FF,12FF690B,78171FF1,01000100,6A280000,E8030000,
E3557B3F,232ADC3D,4AA3F63D,0FC9CB3D,50009FFF,2CFF30F7,2FEEDFFE,01000100,6A280000,E8030000,
C0A5373F,497C163D,806A2CBF,871D293E,4400A9FF,32FF1ED8,05B01F14,01000100,6A280000,E8030000,
697EF6BC,DFC69ABB,AABD7EBF,643FA53D,DCFFC7FF,20FF22DF,E2B0450C,01000100,6A280000,E8030000,
BC6439BF,9EC324BD,3ED02BBF,255517BE,AFFFE1FF,04FF0CD7,80B9C00B,01000100,6A280000,E8030000,
F8A263BF,D84E4DBE,E0E6D0BE,1B794FBD,88FFFAFF,1AFFB6F3,54E4FA03,01000100,6A280000,E8030000,
65A373BF,3FC59BBE,2C0808BC,9E54203D,64FF0900,1EFF63F1,83DF6805,01000100,6A280000,E8030000,
67B548BF,B0221DBF,EB658C3D,31BF7B3D,55FF1500,3AFF9601,C3F8F302,01000100,6A280000,E8030000,
E72B0CBF,E9B355BF,F7B483BC,066C5FBD,54FF1600,16FF2403,690D9103,01000100,6A280000,E8030000,
CA6E503C,BF833DBF,6341E9BE,1D6EFBBE,77FF0200,0DFF5817,D541E1F7,01000100,6A280000,E8030000,
8BA81B3F,B799A3BD,503E0FBF,6D0D0EBF,B8FFEAFF,06FFBB1F,E948CFF8,01000100,6A280000,E8030000,
D45A3B3F,C3F00D3F,9905B8BE,39B527BE,F5FFC8FF,FFFE331B,71326DFE,01000100,6A280000,E8030000,
3D4BD13E,8CDE5B3F,FBE8013E,A8C48E3E,3000B0FF,02FF7316,513119F8,01000100,6A280000,E8030000,
0546DFBD,22DF2F3F,3851033F,BB19003F,4900A5FF,10FF6A15,462C16F6,01000100,6A280000,E8030000,
A8AF07BF,4E59903E,48C5253F,36D6EE3E,6B00A1FF,20FF7E0C,DF1E28FB,01000100,6A280000,E8030000,
70C117BF,7292F03D,E340423F,04A9773E,800099FF,47FF32FF,21FD7702,01000100,6A280000,E8030000,
EE03C4BC,EA6AE03E,8385653F,911AE43C,650093FF,25FFA2E4,4BC69D14,01000100,6A280000,E8030000,
C7FB3A3F,A112F73E,4D27E93E,7C001CBE,1300AEFF,F7FE5CD4,8AA9051B,01000100,6A280000,E8030000,
44254E3F,9E62F13E,0678573C,C276B7BE,DCFFC3FF,01FFAEF2,88D81F08,01000100,6A280000,E8030000,
7277373F,5DD369BC,0C380ABF,1E30E1BE,A7FFE4FF,00FFA8DC,A9C04610,01000100,6A280000,E8030000,
882EB93E,E11C89BE,295451BF,66E6B6BE,77FFFAFF,22FF3CE9,96D76604,01000100,6A280000,E8030000,
9FB62FBE,50970DBF,0F504BBF,54BE33BE,59FF1300,2CFF9BDF,85CFCC0B,01000100,6A280000,E8030000,
55410BBF,83212DBF,0EC7FABE,4F27913D,40FF3400,57FFA6E6,1FD7450F,01000100,6A280000,E8030000,
